year,session,code,unit,max_mark,A*,A,B,C,D,E
2023,june,PS03,PSYCHOLOGY UNIT 3,90,78,69,60,51,42,34
2023,june,PS04,PSYCHOLOGY UNIT 4,90,75,66,57,48,39,31
2020,january,BL01,BIOLOGY UNIT 1,75,,48,42,36,31,26
2020,january,BL02,BIOLOGY UNIT 2,75,,48,43,38,33,28
2020,january,BL03,BIOLOGY UNIT 3,75,54,49,44,39,34,30
2020,january,BL04,BIOLOGY UNIT 4,75,52,47,42,37,33,29
2020,january,BL05,BIOLOGY UNIT 5,75,51,47,43,39,35,31
2020,january,BU01,BUSINESS UNIT 1,80,,58,51,44,37,31
2020,january,BU02,BUSINESS UNIT 2,80,,59,52,45,38,31
2020,january,CH01,CHEMISTRY UNIT 1,70,,55,48,41,35,29
2020,january,CH02,CHEMISTRY UNIT 2,70,,55,48,42,36,30
2020,january,CH03,CHEMISTRY UNIT 3,80,68,60,52,44,36,29
2020,january,CH04,CHEMISTRY UNIT 4,80,67,59,51,43,35,28
2020,january,CH05,CHEMISTRY UNIT 5,60,52,46,40,34,29,24
2020,january,EN01,ENGLISH LANGUAGE UNIT 1,50,,40,35,30,25,20
2020,january,EN02,ENGLISH LANGUAGE UNIT 2,50,,37,32,27,23,19
2020,january,EN03,ENGLISH LANGUAGE UNIT 3,50,45,40,35,30,25,20
2020,january,EN04A,ENGLISH LANGUAGE UNIT 4A,50,45,40,35,30,25,20
2020,january,LT01,ENGLISH LITERATURE UNIT 1,50,,35,29,24,19,14
2020,january,LT02,ENGLISH LITERATURE UNIT 2,50,,34,29,24,19,15
2020,january,FM01,FURTHER MATHEMATICS UNIT 1,80,,63,54,46,38,30
2020,january,FM02,FURTHER MATHEMATICS UNIT 2,80,,64,55,46,38,30
2020,january,FM03,FURTHER MATHEMATICS UNIT 3,120,104,92,80,68,57,46
2020,january,FM04,FURTHER MATHEMATICS UNIT 4,80,66,58,50,42,34,27
2020,january,FM05,FURTHER MATHEMATICS UNIT 5,80,70,62,54,46,39,32
2020,january,MA01,MATHEMATICS UNIT 1,80,,61,52,44,36,28
2020,january,MA02,MATHEMATICS UNIT 2,80,,59,50,41,33,25
2020,january,MA03,MATHEMATICS UNIT 3,120,106,94,82,70,59,48
2020,january,MA04,MATHEMATICS UNIT 4,80,72,64,56,48,40,32
2020,january,MA05,MATHEMATICS UNIT 5,80,71,63,55,47,39,31
2020,january,PH01,PHYSICS UNIT 1,80,,51,45,40,35,30
2020,january,PH02,PHYSICS UNIT 2,80,,54,48,42,36,31
2020,january,PH03,PHYSICS UNIT 3,80,56,51,46,41,36,31
2020,january,PH04,PHYSICS UNIT 4,80,61,55,49,43,37,32
2020,january,PH05,PHYSICS UNIT 5,80,61,55,49,43,38,33
2020,january,PS01,PSYCHOLOGY UNIT 1,90,,59,52,45,38,32
2020,january,PS02,PSYCHOLOGY UNIT 2,90,,68,59,50,42,34
2021,january,BL01,BIOLOGY UNIT 1,75,,50,44,38,32,27
2021,january,BL02,BIOLOGY UNIT 2,75,,46,41,36,31,26
2021,january,BL03,BIOLOGY UNIT 3,75,50,45,40,35,30,25
2021,january,BL04,BIOLOGY UNIT 4,75,50,45,40,35,30,26
2021,january,BL05,BIOLOGY UNIT 5,75,50,45,40,36,32,28
2021,january,BU01,BUSINESS UNIT 1,80,,55,47,40,33,26
2021,january,BU02,BUSINESS UNIT 2,80,,53,46,39,32,26
2021,january,BU03,BUSINESS UNIT 3,80,68,59,50,41,33,25
2021,january,BU04,BUSINESS UNIT 4,80,68,59,50,41,33,25
2021,january,CH01,CHEMISTRY UNIT 1,70,,51,44,37,30,24
2021,january,CH02,CHEMISTRY UNIT 2,70,,51,44,37,31,25
2021,january,CH03,CHEMISTRY UNIT 3,80,64,56,48,40,32,24
2021,january,CH04,CHEMISTRY UNIT 4,80,64,55,46,38,30,22
2021,january,CH05,CHEMISTRY UNIT 5,60,49,43,37,31,26,21
2021,january,EN01,ENGLISH LANGUAGE UNIT 1,50,,38,33,28,23,18
2021,january,EN02,ENGLISH LANGUAGE UNIT 2,50,,35,30,25,21,17
2021,january,EN03,ENGLISH LANGUAGE UNIT 3,50,42,37,32,27,22,18
2021,january,EN04A,ENGLISH LANGUAGE UNIT 4A,50,42,37,32,27,22,18
2021,january,LT01,ENGLISH LITERATURE UNIT 1,50,,32,26,21,16,11
2021,january,LT02,ENGLISH LITERATURE UNIT 2,50,,32,26,21,16,11
2021,january,GG01B,GEOGRAPHY UNIT 1B,80,,48,41,34,27,20
2021,january,GG02,GEOGRAPHY UNIT 2,80,,50,43,36,29,22
2021,january,FM01,FURTHER MATHEMATICS UNIT 1,80,,59,51,43,35,27
2021,january,FM02,FURTHER MATHEMATICS UNIT 2,80,,60,51,43,35,27
2021,january,FM03,FURTHER MATHEMATICS UNIT 3,120,101,88,75,62,49,37
